N	Speaker ID	Task	Evaluation	Target	Response	Hit	Correct	Target Utterance	Responsed Utterance	Number of Syllables	TargetC	TargetV	RespC	RespV	TargetCManner	TargetCVoice	TargetCPlace	RespCanner	RespVoice	RespPlace	CorrC	CorrV	CorrManner	CorrVoice	CorrPlace	
509	CL001	QL4	H54	fu	fu	C	1	bi fu pe si	bi fu pe si	4	f	u	f	u	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
510	CL001	QL4	H54	pe	pe	C	1	bi fu pe si	bi fu pe si	4	p	e	p	e	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
511	CL001	QL4	H54	si	si	C	1	bi fu pe si	bi fu pe si	4	s	i	s	i	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
512	CL001	QL4	H54	za	za	C	1	za bo lu	za bo ro	3	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
513	CL001	QL4	H54	bo	bo	C	1	za bo lu	za bo ro	3	b	o	b	o	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
514	CL001	QL4	H54	lu	ro	S	0	za bo lu	za bo ro	3	l	u	r	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	0	0	1	1	1	
515	CL001	QL4	H54	ma	ma	C	1	ma no ta zo	ma no ta zo	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
516	CL001	QL4	H54	no	no	C	1	ma no ta zo	ma no ta zo	4	n	o	n	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
517	CL001	QL4	H54	ta	ta	C	1	ma no ta zo	ma no ta zo	4	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
518	CL001	QL4	H54	zo	zo	C	1	ma no ta zo	ma no ta zo	4	z	o	z	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
519	CL001	QL4	H54	ba	ba	C	1	ba rre yo	ba rre le	3	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
520	CL001	QL4	H54	rre	rre	C	1	ba rre yo	ba rre le	3	rr	e	rr	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
521	CL001	QL4	H54	yo	le	S	0	ba rre yo	ba rre le	3	y	o	l	e	fric	Voiced	Coronal	Aprox	Voiced	Coronal	0	0	0	1	1	
522	CL001	QL4	H54	se	se	C	1	se nyo ri da	se nyo ri da	4	s	e	s	e	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
523	CL001	QL4	H54	nyo	nyo	C	1	se nyo ri da	se nyo ri da	4	ny	o	ny	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
524	CL001	QL4	H54	ri	ri	C	1	se nyo ri da	se nyo ri da	4	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
525	CL001	QL4	H54	da	da	C	1	se nyo ri da	se nyo ri da	4	d	a	d	a	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
526	CL001	QL4	H54	tu	tu	C	1	tu zo	tu zo	2	t	u	t	u	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
527	CL001	QL4	H54	zo	zo	C	1	tu zo	tu zo	2	z	o	z	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
